,Ctrl.AS3.J1,Ctrl.AS3.J2,Ctrl.AS3.J3,Ctrl.AS3.J4,Ctrl.AS3.J5,Ctrl.BS.J1,Ctrl.BS.J2,Ctrl.BS.J3,Ctrl.BS.J4,Ctrl.BS.J5,Ctrl.P1.J1,Ctrl.P1.J2,Ctrl.P1.J3,Ctrl.P1.J4,Ctrl.P1.J5,DBP.AS1.J1,DBP.AS1.J2,DBP.AS1.J3,DBP.AS1.J4,DBP.AS1.J5,DBP.BS.J1,DBP.BS.J2,DBP.BS.J3,DBP.BS.J4,DBP.BS.J5,DBP.P1.J1,DBP.P1.J2,DBP.P1.J3,DBP.P1.J4,DBP.P1.J5,TBAC.AS3.J1,TBAC.AS3.J2,TBAC.AS3.J3,TBAC.AS3.J4,TBAC.AS3.J5,TBAC.BS.J1,TBAC.BS.J2,TBAC.BS.J3,TBAC.BS.J4,TBAC.BS.J5,TBAC.P3.J1,TBAC.P3.J2,TBAC.P3.J3,TBAC.P3.J4,TBAC.P3.J5,TEC.AS3.J1,TEC.AS3.J2,TEC.AS3.J3,TEC.AS3.J4,TEC.AS3.J5,TEC.BS.J1,TEC.BS.J2,TEC.BS.J3,TEC.BS.J4,TEC.BS.J5,TEC.P3.J1,TEC.P3.J2,TEC.P3.J3,TEC.P3.J4,TEC.P3.J5
Otu651,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,1,1,0,60,0,1,0,0,0,1,1,2,9,0,1,1,0,2,0,0,1,1,0,0,6,9,11,4,8,0,5,0,1,0,1,0,0,0,0,2,5,16,2,8
Otu652,4,2,9,8,4,0,5,5,3,0,0,0,0,0,0,7,1,5,3,20,0,1,2,0,1,0,0,0,0,0,5,7,8,4,7,2,3,3,1,3,0,0,0,0,0,0,5,1,3,5,0,4,1,6,1,0,0,0,0,0
Otu653,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Otu654,0,4,4,3,3,1,0,0,11,0,3,0,0,2,0,2,1,5,1,17,2,0,0,2,1,0,1,0,0,0,0,3,0,0,2,1,1,1,0,1,0,0,0,0,1,1,5,4,2,0,2,1,2,0,0,0,0,2,1,1
Otu655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Otu656,0,1,1,8,5,11,2,7,10,4,0,0,0,0,0,4,1,4,2,12,3,3,0,0,1,0,0,0,0,0,4,3,2,2,3,1,8,0,0,4,1,0,0,0,1,3,3,0,0,3,0,5,2,3,0,0,0,0,0,0
Otu657,0,0,1,1,1,0,0,0,2,0,2,83,0,1,11,0,0,3,2,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,1,1,0,1
Otu658,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,7,1,0,13,0,0,0,0,0,0,5,3,0,17,0,2,1,3,2,0,0,0,1,0,4,7,12,6,4
Otu659,0,5,4,3,3,0,6,2,5,1,0,1,0,0,0,0,0,1,1,0,3,0,1,1,0,0,0,0,0,0,2,2,1,0,2,1,0,0,0,0,0,0,0,1,0,1,3,2,2,0,1,0,0,0,0,0,0,1,0,0
Otu66,58,4,1,4,2,2,3,1,1,7,4,5,4,5,2,32,52,84,133,696,24,1,4,2,12,19,141,137,198,166,190,89,40,18,68,1,5,5,1,4,126,208,306,43,254,57,10,15,8,3,2,4,3,8,3,92,45,140,40,71
